Issue Type,Summary,Description,Epic Name,Epic Link,Labels,Labels,Labels,Original Estimate,Component,Due Date
Epic,D0 Foundation & Platform,Domain D0: Foundation & Platform,D0 Foundation & Platform,,D0,,,,,
Epic,D1 Interfaces & L2,Domain D1: Interfaces & L2,D1 Interfaces & L2,,D1,,,,,
Epic,"D2 L3, MPLS & Multicast","Domain D2: L3, MPLS & Multicast","D2 L3, MPLS & Multicast",,D2,,,,,
Epic,D3 Dynamic Routing,Domain D3: Dynamic Routing,D3 Dynamic Routing,,D3,,,,,
Epic,D4 NAT & CGNAT,Domain D4: NAT & CGNAT,D4 NAT & CGNAT,,D4,,,,,
Epic,D5 Firewall & ACL,Domain D5: Firewall & ACL,D5 Firewall & ACL,,D5,,,,,
Epic,D6 VPN & Tunnels,Domain D6: VPN & Tunnels,D6 VPN & Tunnels,,D6,,,,,
Epic,"D7 Services, QoS & Host Stack","Domain D7: Services, QoS & Host Stack","D7 Services, QoS & Host Stack",,D7,,,,,
Epic,D8 Observability & Ops,Domain D8: Observability & Ops,D8 Observability & Ops,,D8,,,,,
Epic,D9 High Availability,Domain D9: High Availability,D9 High Availability,,D9,,,,,
Epic,D10 Multi-tenancy & AAA,Domain D10: Multi-tenancy & AAA,D10 Multi-tenancy & AAA,,D10,,,,,
Epic,D11 Cloud & Virtualization,Domain D11: Cloud & Virtualization,D11 Cloud & Virtualization,,D11,,,,,
Epic,"D12 Hardening, QA, Docs & Release","Domain D12: Hardening, QA, Docs & Release","D12 Hardening, QA, Docs & Release",,D12,,,,,
Story,"[D0.1] Monorepo, CI/CD, codegen pipeline (Zod -> OpenAPI -> client -> proto -> binapi)","Monorepo, CI/CD, codegen pipeline (Zod -> OpenAPI -> client -> proto -> binapi)

Note: CI must fail on dirty generated output

Estimate: 25 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q1-Q1. Owning squad: Platform & Release.",,D0 Foundation & Platform,T1,D0,S6,200h,Platform & Release,2026-12-31
Story,"[D0.2] Pinned VPP fork, patch management, VPP package build","Pinned VPP fork, patch management, VPP package build

Depends on: D0.1

Note: Track a stable release branch, never master

Estimate: 30 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q1-Q2. Owning squad: Platform & Release.",,D0 Foundation & Platform,T1,D0,S6,240h,Platform & Release,2027-03-31
Story,[D0.3] OS image: Ubuntu 24.04 autoinstall + installer ISO,"OS image: Ubuntu 24.04 autoinstall + installer ISO

Depends on: D0.2

Estimate: 45 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q2-Q3. Owning squad: Platform & Release.",,D0 Foundation & Platform,T1,D0,S6,360h,Platform & Release,2027-06-30
Story,"[D0.4] Debian packaging, signed APT repository","Debian packaging, signed APT repository

Depends on: D0.1

Estimate: 25 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q1-Q2. Owning squad: Platform & Release.",,D0 Foundation & Platform,T1,D0,S6,200h,Platform & Release,2027-03-31
Story,[D0.5] A/B image upgrade with automatic rollback,"A/B image upgrade with automatic rollback

Depends on: D0.3

Note: Required for GA-1

Estimate: 40 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q6-Q6. Owning squad: Platform & Release.",,D0 Foundation & Platform,T1,D0,S6,320h,Platform & Release,2028-03-31
Story,"[D0.6] startup.conf generator: hugepages, workers, RSS, NUMA, isolcpus, PCI whitelist","startup.conf generator: hugepages, workers, RSS, NUMA, isolcpus, PCI whitelist

Depends on: D0.2

Estimate: 30 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q2-Q2. Owning squad: Dataplane & Agent.",,D0 Foundation & Platform,T1,D0,S1,240h,Dataplane & Agent,2027-03-31
Story,"[D0.7] Agent core: govpp connection, stats reader, reconciler/KVScheduler, dependency graph","Agent core: govpp connection, stats reader, reconciler/KVScheduler, dependency graph

Depends on: D0.2

Note: CRITICAL PATH - everything depends on this

Estimate: 70 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q1-Q2. Owning squad: Dataplane & Agent.",,D0 Foundation & Platform,T1,D0,S1,560h,Dataplane & Agent,2027-03-31
Story,"[D0.8] API core: NestJS, candidate/running datastore, atomic commit, confirmed-commit, revisions, rollback","API core: NestJS, candidate/running datastore, atomic commit, confirmed-commit, revisions, rollback

Depends on: D0.1

Note: CRITICAL PATH

Estimate: 75 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q1-Q2. Owning squad: Control Plane.",,D0 Foundation & Platform,T1,D0,S4,600h,Control Plane,2027-03-31
Story,"[D0.9] Auth, RBAC, audit log, API keys, TLS, TPM-backed secret store","Auth, RBAC, audit log, API keys, TLS, TPM-backed secret store

Depends on: D0.8

Estimate: 55 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q2-Q2. Owning squad: Control Plane.",,D0 Foundation & Platform,T1,D0,S4,440h,Control Plane,2027-03-31
Story,"[D0.10] UI shell: theme, layout, i18n en/fa + RTL, SchemaForm renderer, DataGrid wrapper, WS client","UI shell: theme, layout, i18n en/fa + RTL, SchemaForm renderer, DataGrid wrapper, WS client

Depends on: D0.8

Estimate: 80 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q1-Q2. Owning squad: Frontend.",,D0 Foundation & Platform,T1,D0,S5,640h,Frontend,2027-03-31
Story,"[D0.11] Interactive CLI (clixon-like: config mode, completion, show commands)","Interactive CLI (clixon-like: config mode, completion, show commands)

Depends on: D0.8

Note: TNSR's primary interface

Estimate: 90 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q6-Q7. Owning squad: Control Plane.",,D0 Foundation & Platform,T1,D0,S4,720h,Control Plane,2028-06-30
Story,[D0.12] Telemetry pipeline: stats -> gRPC stream -> WS fan-out -> Prometheus -> history,"Telemetry pipeline: stats -> gRPC stream -> WS fan-out -> Prometheus -> history

Depends on: D0.7

Estimate: 50 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q2-Q3. Owning squad: Control Plane.",,D0 Foundation & Platform,T1,D0,S4,400h,Control Plane,2027-06-30
