id,domain,domain_name,item,tier,net_pd,start_q,end_q,squad,depends_on,notes
D0.1,D0,Foundation & Platform,"Monorepo, CI/CD, codegen pipeline (Zod -> OpenAPI -> client -> proto -> binapi)",T1,25,1,1,S6,,CI must fail on dirty generated output
D0.2,D0,Foundation & Platform,"Pinned VPP fork, patch management, VPP package build",T1,30,1,2,S6,D0.1,"Track a stable release branch, never master"
D0.3,D0,Foundation & Platform,OS image: Ubuntu 24.04 autoinstall + installer ISO,T1,45,2,3,S6,D0.2,
D0.4,D0,Foundation & Platform,"Debian packaging, signed APT repository",T1,25,1,2,S6,D0.1,
D0.5,D0,Foundation & Platform,A/B image upgrade with automatic rollback,T1,40,6,6,S6,D0.3,Required for GA-1
D0.6,D0,Foundation & Platform,"startup.conf generator: hugepages, workers, RSS, NUMA, isolcpus, PCI whitelist",T1,30,2,2,S1,D0.2,
D0.7,D0,Foundation & Platform,"Agent core: govpp connection, stats reader, reconciler/KVScheduler, dependency graph",T1,70,1,2,S1,D0.2,CRITICAL PATH - everything depends on this
D0.8,D0,Foundation & Platform,"API core: NestJS, candidate/running datastore, atomic commit, confirmed-commit, revisions, rollback",T1,75,1,2,S4,D0.1,CRITICAL PATH
D0.9,D0,Foundation & Platform,"Auth, RBAC, audit log, API keys, TLS, TPM-backed secret store",T1,55,2,2,S4,D0.8,
D0.10,D0,Foundation & Platform,"UI shell: theme, layout, i18n en/fa + RTL, SchemaForm renderer, DataGrid wrapper, WS client",T1,80,1,2,S5,D0.8,
D0.11,D0,Foundation & Platform,"Interactive CLI (clixon-like: config mode, completion, show commands)",T1,90,6,7,S4,D0.8,TNSR's primary interface
D0.12,D0,Foundation & Platform,Telemetry pipeline: stats -> gRPC stream -> WS fan-out -> Prometheus -> history,T1,50,2,3,S4,D0.7,
D0.13,D0,Foundation & Platform,"Test infra: containerlab/QEMU lab, Robot Framework, TRex harness, Playwright",T1,70,1,2,QA,D0.1,
D1.1,D1,Interfaces & L2,"NIC inventory and driver binding: dpdk, rdma, af_xdp, af_packet, vmxnet3, virtio, vhost-user, tap-v2, netmap, memif, pipe, Marvell mGig",T1,70,2,3,S1,D0.6,Fix a supported-hardware matrix; refuse 'any NIC'
D1.2,D1,Interfaces & L2,"Interface basics: admin state, MTU, MAC, promisc, rx-mode, rx/tx queues, worker placement",T1,35,2,2,S1,D0.7,
D1.3,D1,Interfaces & L2,IPv4/IPv6 addressing + IP unnumbered,T1,20,2,2,S1,D1.2,
D1.4,D1,Interfaces & L2,802.1q sub-interfaces + QinQ/802.1ad stacking,T1,25,2,2,S1,D1.2,
D1.5,D1,Interfaces & L2,"Bonding: LACP, XOR, round-robin, active-backup",T1,30,2,3,S1,D1.2,
D1.6,D1,Interfaces & L2,"L2: bridge domains, cross-connect, L2XC, L3XC, split-horizon, MAC aging, time-range MAC filter",T1,45,2,3,S1,D1.2,
D1.7,D1,Interfaces & L2,LLDP,T2,12,3,3,S1,D1.2,
D1.8,D1,Interfaces & L2,"VNET GSO, checksum offload, jumbo frames",T1,20,4,4,S1,D1.2,
D1.9,D1,Interfaces & L2,Network Delay Simulator (nsim),T3,8,10,10,S1,D1.2,"Test tool, not a product feature"
D1.10,D1,Interfaces & L2,SPAN / ERSPAN mirroring,T2,25,7,7,S1,D1.6,
D1.11,D1,Interfaces & L2,Loopback / BVI interfaces,T1,10,3,3,S1,D1.6,
D2.1,D2,"L3, MPLS & Multicast",VRF/table management + Source VRF Select,T1,30,3,3,S2,D1.3,
D2.2,D2,"L3, MPLS & Multicast","Static routes v4/v6, ECMP, weighted paths, DPO/adjacency view",T1,35,3,3,S2,D2.1,
D2.3,D2,"L3, MPLS & Multicast","Neighbour DB: ARP, ND, proxy-ND, IPv6 RA, IPv6 DAD (new in 26.06)",T1,30,3,3,S1,D1.3,
D2.4,D2,"L3, MPLS & Multicast","RPF strict/loose, ADL allow/deny lists, Auto-SDL",T2,30,9,9,S2,D2.2,
D2.5,D2,"L3, MPLS & Multicast",FIB browser with server-side pagination (1M+ routes),T1,25,3,4,S5,D2.2,
D2.6,D2,"L3, MPLS & Multicast","Tools: ping, traceroute, ARP flush",T1,20,3,3,S4,D2.2,
D2.7,D2,"L3, MPLS & Multicast","Classifier/classify tables, IP session redirect, ACL-Based Forwarding (PBR)",T2,45,5,5,S2,D2.2,
D2.8,D2,"L3, MPLS & Multicast","MPLS: label operations, LSP, MPLS-over-Ethernet, basic L3VPN, SR-MPLS",T2,90,9,10,S2,D3.3,
D2.9,D2,"L3, MPLS & Multicast","Multicast: IGMPv3, PIM via FRR, mfib, BIER",T3,70,9,10,S2,D3.2,BIER has near-zero commercial demand
